,gross_p50,gross_p10,gross_p90,p50,p10,p90,solar_mw
2025-06-11 23:15:00,7110.923291702111,6236.048676969577,7918.151632699762,7110.923291702111,6236.048676969577,7918.151632699762,0.0
2025-06-11 23:30:00,7104.218636318737,6234.223977242302,7911.790102756278,7104.218636318737,6234.223977242302,7911.790102756278,0.0
2025-06-11 23:45:00,7086.649434574977,6222.273915953261,7893.051160126099,7086.649434574977,6222.273915953261,7893.051160126099,0.0
2025-06-12 00:00:00,7003.720497041112,6407.182993364898,7558.305488294131,7003.720497041112,6407.182993364898,7558.305488294131,0.0
2025-06-12 00:15:00,6958.186759920099,6365.998610401128,7509.22276660604,6958.186759920099,6365.998610401128,7509.22276660604,0.0
2025-06-12 00:30:00,6885.483037505644,6298.6369936635265,7430.2302856280485,6885.483037505644,6298.6369936635265,7430.2302856280485,0.0
2025-06-12 00:45:00,6811.419557393056,6230.228342335083,7349.774078874312,6811.419557393056,6230.228342335083,7349.774078874312,0.0
2025-06-12 01:00:00,6724.867239122517,6149.951917087505,7255.579971025241,6724.867239122517,6149.951917087505,7255.579971025241,0.0
2025-06-12 01:15:00,6655.023023031802,6083.809596375324,7179.915245086644,6655.023023031802,6083.809596375324,7179.915245086644,0.0
2025-06-12 01:30:00,6579.009261688776,6011.966207623821,7097.4662843847345,6579.009261688776,6011.966207623821,7097.4662843847345,0.0
2025-06-12 01:45:00,6510.082957096437,5947.330034184816,7022.840624138848,6510.082957096437,5947.330034184816,7022.840624138848,0.0
2025-06-12 02:00:00,6426.757882532343,5868.995527616457,6932.346545528637,6426.757882532343,5868.995527616457,6932.346545528637,0.0
2025-06-12 02:15:00,6357.047767004483,5803.826062891399,6856.873301266751,6357.047767004483,5803.826062891399,6856.873301266751,0.0
2025-06-12 02:30:00,6291.295962209618,5742.829710382349,6785.754807709673,6291.295962209618,5742.829710382349,6785.754807709673,0.0
2025-06-12 02:45:00,6219.331464702135,5676.108940606394,6707.7727157695035,6219.331464702135,5676.108940606394,6707.7727157695035,0.0
2025-06-12 03:00:00,6136.628092196606,5599.258450138121,6617.931311155806,6136.628092196606,5599.258450138121,6617.931311155806,0.0
2025-06-12 03:15:00,6060.422889131338,5528.24447971459,6535.255064556325,6060.422889131338,5528.24447971459,6535.255064556325,0.0
2025-06-12 03:30:00,6002.136130410581,5474.985553344653,6472.297659109743,6002.136130410581,5474.985553344653,6472.297659109743,0.0
2025-06-12 03:45:00,5928.980897660099,5407.5685958347,6392.910501738722,5928.980897660099,5407.5685958347,6392.910501738722,0.0
2025-06-12 04:00:00,5849.920195224673,5334.710695723947,6306.968209150884,5849.920195224673,5334.710695723947,6306.968209150884,0.0
2025-06-12 04:15:00,5774.225514538656,5264.216903889114,6224.729743258803,5774.225514538656,5264.216903889114,6224.729743258803,0.0
2025-06-12 04:30:00,5711.608887886611,5206.741627470548,6156.85173256572,5711.608887886611,5206.741627470548,6156.85173256572,0.0
2025-06-12 04:45:00,5648.461998686415,5149.031450117938,6088.327942570558,5648.461998686415,5149.031450117938,6088.327942570558,0.0
2025-06-12 05:00:00,5567.625593803097,5074.375939624198,6000.238024980987,5567.625593803097,5074.375939624198,6000.238024980987,0.0
2025-06-12 05:15:00,5490.007488932165,4990.5976709077895,5916.080763340506,5490.007488932165,4990.5976709077895,5916.080763340506,0.0
2025-06-12 05:30:00,5392.291743249627,4887.505330007307,5809.693964874503,5392.291743249627,4887.505330007307,5809.693964874503,0.0
2025-06-12 05:45:00,5289.465991472417,4779.67088869732,5697.595319625486,5289.465991472417,4779.67088869732,5697.595319625486,0.0
2025-06-12 06:00:00,5234.195636921654,4718.333763090253,5637.8369555077,5234.195636921654,4718.333763090253,5637.8369555077,0.0
2025-06-12 06:15:00,5205.60507506228,4689.216243762943,5607.182946574912,5205.60507506228,4689.216243762943,5607.182946574912,0.0
2025-06-12 06:30:00,5184.212578643234,4667.286812347369,5584.375181235,5184.212578643234,4667.286812347369,5584.375181235,0.0
2025-06-12 06:45:00,5123.650848896687,4607.4025683905165,5518.298155460035,5123.650848896687,4607.4025683905165,5518.298155460035,0.0
2025-06-12 07:00:00,5107.802348846024,4591.1804561352865,5501.417621786109,5107.802348846024,4591.1804561352865,5501.417621786109,0.0
2025-06-12 07:15:00,5113.357736860884,4593.494608181433,5508.124992669664,5113.357736860884,4593.494608181433,5508.124992669664,0.0
2025-06-12 07:30:00,5107.006665302322,4584.32931380288,5501.611112015171,5107.006665302322,4584.32931380288,5501.611112015171,0.0
2025-06-12 07:45:00,5103.86724085766,4578.377624809271,5498.5405389590815,5103.86724085766,4578.377624809271,5498.5405389590815,0.0
2025-06-12 08:00:00,5117.303855120379,4588.625480701743,5513.645039835719,5117.303855120379,4588.625480701743,5513.645039835719,0.0
2025-06-12 08:15:00,5146.621233259649,4613.97185449595,5546.172817694935,5146.621233259649,4613.97185449595,5546.172817694935,0.0
2025-06-12 08:30:00,5173.1004548908895,4636.582000910221,5575.474728239457,5173.1004548908895,4636.582000910221,5575.474728239457,0.0
2025-06-12 08:45:00,5211.228962662724,4670.534224818611,5617.521785327722,5211.228962662724,4670.534224818611,5617.521785327722,0.0
2025-06-12 09:00:00,5314.142924746351,4767.520190201475,5730.889850802741,5314.142924746351,4767.520190201475,5730.889850802741,0.0
2025-06-12 09:15:00,5497.53127845297,4943.998507858094,5932.831136819885,5497.53127845297,4943.998507858094,5932.831136819885,0.0
2025-06-12 09:30:00,5647.012129013616,5087.419634326681,6097.302814411166,5647.012129013616,5087.419634326681,6097.302814411166,0.0
2025-06-12 09:45:00,5776.78731530932,5211.584377927875,6239.962676519493,5776.78731530932,5211.584377927875,6239.962676519493,0.0
2025-06-12 10:00:00,5891.9683484793,5321.447073081281,6366.44817265344,5891.9683484793,5321.447073081281,6366.44817265344,0.0
2025-06-12 10:15:00,6000.642011296301,5426.068994821287,6485.632823709884,6000.642011296301,5426.068994821287,6485.632823709884,0.0
2025-06-12 10:30:00,6082.761705764277,5504.710301606485,6575.465847483774,6082.761705764277,5504.710301606485,6575.465847483774,0.0
2025-06-12 10:45:00,6171.720716425493,5589.850994266611,6672.762184726808,6171.720716425493,5589.850994266611,6672.762184726808,0.0
2025-06-12 11:00:00,6233.646655148053,5648.508025855935,6740.186765817756,6233.646655148053,5648.508025855935,6740.186765817756,0.0
2025-06-12 11:15:00,6169.626073091447,5585.611345733153,6668.662703983907,6169.626073091447,5585.611345733153,6668.662703983907,0.0
2025-06-12 11:30:00,6236.643690135502,5650.03397933704,6741.526042685272,6236.643690135502,5650.03397933704,6741.526042685272,0.0
2025-06-12 11:45:00,6301.570040999125,5712.197225555401,6812.02650562073,6301.570040999125,5712.197225555401,6812.02650562073,0.0
2025-06-12 12:00:00,6490.914886090737,5895.207195012023,7019.627446748597,6490.914886090737,5895.207195012023,7019.627446748597,0.0
2025-06-12 12:15:00,6548.890481322867,5951.325683839994,7082.322576549955,6548.890481322867,5951.325683839994,7082.322576549955,0.0
2025-06-12 12:30:00,6637.918836799529,6037.400167251816,7179.207643854352,6637.918836799529,6037.400167251816,7179.207643854352,0.0
2025-06-12 12:45:00,6679.403586702932,6076.928375074031,7223.647798741421,6679.403586702932,6076.928375074031,7223.647798741421,0.0
2025-06-12 13:00:00,6624.922051789225,6022.774595753639,7162.270315113976,6624.922051789225,6022.774595753639,7162.270315113976,0.0
2025-06-12 13:15:00,6671.055789840153,6069.165729141579,7211.363940766231,6671.055789840153,6069.165729141579,7211.363940766231,0.0
2025-06-12 13:30:00,6731.330091516663,6129.0154164453825,7276.028655843111,6731.330091516663,6129.0154164453825,7276.028655843111,0.0
2025-06-12 13:45:00,6861.8772070290315,6256.9457849610335,7418.14818956642,6861.8772070290315,6256.9457849610335,7418.14818956642,0.0
2025-06-12 14:00:00,6953.36099002648,6346.544559493933,7517.202175824323,6953.36099002648,6346.544559493933,7517.202175824323,0.0
2025-06-12 14:15:00,7131.766222256394,6521.533846807668,7712.348548047233,7131.766222256394,6521.533846807668,7712.348548047233,0.0
2025-06-12 14:30:00,7224.299988662521,6608.993766323866,7812.316636791701,7224.299988662521,6608.993766323866,7812.316636791701,0.0
2025-06-12 14:45:00,7289.51710386762,6669.641064211161,7882.200862480242,7289.51710386762,6669.641064211161,7882.200862480242,0.0
2025-06-12 15:00:00,7381.58088246728,6754.544584124451,7981.476486881699,7381.58088246728,6754.544584124451,7981.476486881699,0.0
2025-06-12 15:15:00,7433.569870442952,6804.378367893673,8036.852900681383,7433.569870442952,6804.378367893673,8036.852900681383,0.0
2025-06-12 15:30:00,7455.633497180994,6826.03987636907,8059.458200160745,7455.633497180994,6826.03987636907,8059.458200160745,0.0
2025-06-12 15:45:00,7433.264698115586,6805.73920399544,8033.353350956209,7433.264698115586,6805.73920399544,8033.353350956209,0.0
2025-06-12 16:00:00,7411.746460612899,6785.959980059,8008.231357378068,7411.746460612899,6785.959980059,8008.231357378068,0.0
2025-06-12 16:15:00,7341.326330088113,6720.307918617122,7929.179661034186,7341.326330088113,6720.307918617122,7929.179661034186,0.0
2025-06-12 16:30:00,7336.1130150312965,6717.8250684796385,7922.064860504806,7336.1130150312965,6717.8250684796385,7922.064860504806,0.0
2025-06-12 16:45:00,7263.299838132901,6649.272106168645,7840.492574796645,7263.299838132901,6649.272106168645,7840.492574796645,0.0
2025-06-12 17:00:00,7181.122303179268,6571.335338913392,7748.66357028706,7181.122303179268,6571.335338913392,7748.66357028706,0.0
2025-06-12 17:15:00,7066.036217399105,6459.095050761777,7620.70194003598,7066.036217399105,6459.095050761777,7620.70194003598,0.0
2025-06-12 17:30:00,6933.754897175274,6329.874983802942,7473.860033607191,6933.754897175274,6329.874983802942,7473.860033607191,0.0
2025-06-12 17:45:00,6812.902687553298,6211.546841739179,7339.6958408424225,6812.902687553298,6211.546841739179,7339.6958408424225,0.0
2025-06-12 18:00:00,6686.555307374893,6087.654875664207,7199.556471311322,6686.555307374893,6087.654875664207,7199.556471311322,0.0
2025-06-12 18:15:00,6565.542220354667,5974.809267016271,7065.162577971006,6565.542220354667,5974.809267016271,7065.162577971006,0.0
2025-06-12 18:30:00,6470.909589145938,5887.4545698225575,6959.937734713578,6470.909589145938,5887.4545698225575,6959.937734713578,0.0
2025-06-12 18:45:00,6432.960243314574,5855.099560122788,6917.28877278783,6432.960243314574,5855.099560122788,6917.28877278783,0.0
2025-06-12 19:00:00,6382.2031072779555,5810.133155859743,6860.614290220534,6382.2031072779555,5810.133155859743,6860.614290220534,0.0
2025-06-12 19:15:00,6379.936987716045,5810.616507649345,6857.547542352541,6379.936987716045,5810.616507649345,6857.547542352541,0.0
2025-06-12 19:30:00,6432.844016716703,5864.686940426812,6915.3970945120855,6432.844016716703,5864.686940426812,6915.3970945120855,0.0
2025-06-12 19:45:00,6489.971849024847,5922.777113230423,6977.996503179975,6489.971849024847,5922.777113230423,6977.996503179975,0.0
2025-06-12 20:00:00,6551.770131705102,5985.345066333015,7045.8419119689415,6551.770131705102,5985.345066333015,7045.8419119689415,0.0
2025-06-12 20:15:00,6660.32318870917,6089.331974186682,7165.472015099242,6660.32318870917,6089.331974186682,7165.472015099242,0.0
2025-06-12 20:30:00,6749.231002098158,6174.174008318262,7263.54340220463,6749.231002098158,6174.174008318262,7263.54340220463,0.0
2025-06-12 20:45:00,6863.117400453035,6283.320626334537,7389.246388232718,6863.117400453035,6283.320626334537,7389.246388232718,0.0
2025-06-12 21:00:00,6936.087996606437,6352.663720202725,7469.941084536539,6936.087996606437,6352.663720202725,7469.941084536539,0.0
2025-06-12 21:15:00,7117.7666393158515,6529.050863696848,7670.51970043839,7117.7666393158515,6529.050863696848,7670.51970043839,0.0
2025-06-12 21:30:00,7204.574364349193,6609.929477193353,7766.140403451957,7204.574364349193,6609.929477193353,7766.140403451957,0.0
2025-06-12 21:45:00,7390.9925544503185,6779.851535592982,7970.501259970382,7390.9925544503185,6779.851535592982,7970.501259970382,0.0
2025-06-12 22:00:00,7491.022728509598,6871.336841496623,8080.520441071948,7491.022728509598,6871.336841496623,8080.520441071948,0.0
2025-06-12 22:15:00,7572.549536431541,6944.479110616145,8170.452570251268,7572.549536431541,6944.479110616145,8170.452570251268,0.0
2025-06-12 22:30:00,7651.540163993621,7015.711891731336,8257.729699498324,7651.540163993621,7015.711891731336,8257.729699498324,0.0
2025-06-12 22:45:00,7694.384299792406,7053.957971316145,8305.531284090166,7694.384299792406,7053.957971316145,8305.531284090166,0.0
2025-06-12 23:00:00,7696.76991776207,7055.064131426223,8309.103446321076,7696.76991776207,7055.064131426223,8309.103446321076,0.0
