,gross_p50,gross_p10,gross_p90,p50,p10,p90,solar_mw
2025-06-11 23:15:00,7308.167032659936,6425.7111908933475,8144.360707819614,7308.167032659936,6425.7111908933475,8144.360707819614,0.0
2025-06-11 23:30:00,7301.070830261608,6423.509993585895,8137.550132001779,7301.070830261608,6423.509993585895,8137.550132001779,0.0
2025-06-11 23:45:00,7283.110081502892,6411.183434716678,8118.3621434972465,7283.110081502892,6411.183434716678,8118.3621434972465,0.0
2025-06-12 00:00:00,7199.789596954072,6597.999674769265,7774.4423234927945,7199.789596954072,6597.999674769265,7774.4423234927945,0.0
2025-06-12 00:15:00,7153.974092355007,6556.541072486319,7725.048995334867,7153.974092355007,6556.541072486319,7725.048995334867,0.0
2025-06-12 00:30:00,7080.988602462499,6488.90523642954,7645.745907887037,7080.988602462499,6488.90523642954,7645.745907887037,0.0
2025-06-12 00:45:00,7006.6433548718605,6420.222365781922,7564.979094663466,7006.6433548718605,6420.222365781922,7564.979094663466,0.0
2025-06-12 01:00:00,6919.8092691232705,6339.671721215169,7470.474380344558,6919.8092691232705,6339.671721215169,7470.474380344558,0.0
2025-06-12 01:15:00,6849.72170839242,6273.292574727337,7394.541403363829,6849.72170839242,6273.292574727337,7394.541403363829,0.0
2025-06-12 01:30:00,6773.464602409257,6201.212360200181,7311.824191619788,6773.464602409257,6201.212360200181,7311.824191619788,0.0
2025-06-12 01:45:00,6704.294953176782,6136.339360985524,7236.930280331769,6704.294953176782,6136.339360985524,7236.930280331769,0.0
2025-06-12 02:00:00,6620.726533972553,6057.768028641514,7146.167950679426,6620.726533972553,6057.768028641514,7146.167950679426,0.0
2025-06-12 02:15:00,6550.838941526699,5992.425841358273,7070.499064680045,6550.838941526699,5992.425841358273,7070.499064680045,0.0
2025-06-12 02:30:00,6484.90965981384,5931.2567662910415,6999.184929385473,6484.90965981384,5931.2567662910415,6999.184929385473,0.0
2025-06-12 02:45:00,6412.767685388363,5864.363273956903,6921.007195707808,6412.767685388363,5864.363273956903,6921.007195707808,0.0
2025-06-12 03:00:00,6329.886835964841,5787.340060930448,6830.970149356616,6329.886835964841,5787.340060930448,6830.970149356616,0.0
2025-06-12 03:15:00,6253.613935518481,5716.260206644517,6748.2192765273685,6253.613935518481,5716.260206644517,6748.2192765273685,0.0
2025-06-12 03:30:00,6195.259479416636,5662.935396412183,6685.187244851022,6195.259479416636,5662.935396412183,6685.187244851022,0.0
2025-06-12 03:45:00,6122.036549285062,5595.45255503983,6605.725461250235,6122.036549285062,5595.45255503983,6605.725461250235,0.0
2025-06-12 04:00:00,6042.908149468545,5522.528771066676,6519.70854243263,6042.908149468545,5522.528771066676,6519.70854243263,0.0
2025-06-12 04:15:00,5966.922553009735,5451.751856688019,6437.149385445067,5966.922553009735,5451.751856688019,6437.149385445067,0.0
2025-06-12 04:30:00,5904.015010584897,5393.99345772563,6368.950683656505,5904.015010584897,5393.99345772563,6368.950683656505,0.0
2025-06-12 04:45:00,5840.577205611908,5336.000157829196,6300.106202565862,5840.577205611908,5336.000157829196,6300.106202565862,0.0
