date,peak_time,p10_mw,p50_mw,p90_mw,actual_peak_mw,assumed_capacity_mw,reliability,reliability_reasons,stress_score,stress_level,stress_reasons,peak_risk,peak_risk_reasons
2025-05-01,15:30,5563.4,5969.0,6386.1,6045.7,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],5.8,NORMAL,"['corrected temperature forecast at peak is 36.1C', 'upper bound (P90) reaches 71% of assumed capacity']",LOW,['P90 stays at 71% of assumed capacity']
2025-05-02,15:30,5558.3,5972.6,6389.1,5811.9,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],6.0,NORMAL,"['corrected temperature forecast at peak is 36.4C', 'upper bound (P90) reaches 71% of assumed capacity']",LOW,['P90 stays at 71% of assumed capacity']
2025-05-03,00:00,5221.0,5584.1,6037.2,4688.1,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],0.0,NORMAL,[],LOW,['P90 stays at 67% of assumed capacity']
2025-05-04,00:00,4226.3,4626.2,5018.5,4739.8,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],0.0,NORMAL,[],LOW,['P90 stays at 56% of assumed capacity']
2025-05-05,23:15,4707.5,5069.5,5413.4,4832.3,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],10.0,NORMAL,['forecast peak is +9.6% versus the previous day'],LOW,['P90 stays at 60% of assumed capacity']
2025-05-06,15:15,4709.5,5017.6,5362.2,5082.8,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],2.6,NORMAL,['corrected temperature forecast at peak is 33.1C'],LOW,['P90 stays at 60% of assumed capacity']
2025-05-07,15:15,5013.6,5293.8,5662.2,5363.3,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],9.3,NORMAL,"['forecast peak is +5.5% versus the previous day', 'corrected temperature forecast at peak is 32.9C']",LOW,['P90 stays at 63% of assumed capacity']
2025-05-08,15:15,5218.7,5590.8,5988.6,5458.6,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],11.9,NORMAL,"['forecast peak is +5.6% versus the previous day', 'corrected temperature forecast at peak is 35.9C']",LOW,['P90 stays at 67% of assumed capacity']
2025-05-09,15:30,5086.4,5439.0,5821.7,5733.3,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],3.6,NORMAL,['corrected temperature forecast at peak is 34.3C'],LOW,['P90 stays at 65% of assumed capacity']
2025-05-10,15:30,5073.5,5401.3,5846.3,5488.6,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],2.8,NORMAL,['corrected temperature forecast at peak is 33.4C'],LOW,['P90 stays at 65% of assumed capacity']
2025-05-11,14:15,5020.1,5271.0,5708.2,5192.9,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],5.2,NORMAL,['corrected temperature forecast at peak is 36.2C'],LOW,['P90 stays at 63% of assumed capacity']
2025-05-12,23:30,5181.2,5547.2,5922.6,5795.7,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],8.7,NORMAL,"['forecast peak is +5.2% versus the previous day', 'corrected temperature forecast at peak is 32.6C']",LOW,['P90 stays at 66% of assumed capacity']
2025-05-13,23:15,5512.3,5918.7,6319.3,6333.5,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],9.9,NORMAL,"['forecast peak is +6.7% versus the previous day', 'corrected temperature forecast at peak is 31.7C']",LOW,['P90 stays at 70% of assumed capacity']
2025-05-14,15:15,5970.7,6424.3,6872.6,6126.1,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],25.3,NORMAL,"['forecast peak is +8.5% versus the previous day', 'corrected temperature forecast at peak is 40.3C', 'upper bound (P90) reaches 76% of assumed capacity', 'forecast peak is 71% of assumed capacity']",LOW,['P90 stays at 76% of assumed capacity']
2025-05-15,15:15,5943.9,6398.3,6845.5,6407.6,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],15.0,NORMAL,"['corrected temperature forecast at peak is 40.7C', 'upper bound (P90) reaches 76% of assumed capacity', 'forecast peak is 71% of assumed capacity']",LOW,['P90 stays at 76% of assumed capacity']
2025-05-16,15:30,5960.0,6420.7,6866.1,6823.5,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],16.1,NORMAL,"['corrected temperature forecast at peak is 40.8C', 'upper bound (P90) reaches 76% of assumed capacity', 'forecast peak is 71% of assumed capacity']",LOW,['P90 stays at 76% of assumed capacity']
2025-05-17,15:15,6150.3,6596.4,7130.7,6182.3,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],25.5,NORMAL,"['corrected temperature forecast at peak is 41.9C', 'upper bound (P90) reaches 79% of assumed capacity', 'forecast peak is 73% of assumed capacity', 'forecast peak is +2.7% versus the previous day']",LOW,['P90 stays at 79% of assumed capacity']
2025-05-18,14:45,5696.5,6126.3,6620.9,6816.4,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],12.3,NORMAL,"['corrected temperature forecast at peak is 42.0C', 'upper bound (P90) reaches 74% of assumed capacity']",LOW,['P90 stays at 74% of assumed capacity']
2025-05-19,23:15,6362.4,6820.7,7288.4,7229.4,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],29.1,NORMAL,"['forecast peak is 76% of assumed capacity', 'forecast peak is +11.3% versus the previous day', 'upper bound (P90) reaches 81% of assumed capacity', 'corrected temperature forecast at peak is 31.4C']",LOW,['P90 stays at 81% of assumed capacity']
2025-05-20,23:15,6582.2,7070.7,7558.1,7507.3,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],31.8,NORMAL,"['forecast peak is 79% of assumed capacity', 'upper bound (P90) reaches 84% of assumed capacity', 'forecast peak is +3.7% versus the previous day', 'corrected temperature forecast at peak is 32.7C']",LOW,['P90 stays at 84% of assumed capacity']
2025-05-21,23:00,6784.3,7285.3,7787.5,7700.3,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],36.5,NORMAL,"['forecast peak is 81% of assumed capacity', 'upper bound (P90) reaches 87% of assumed capacity', 'forecast peak is +3.0% versus the previous day', 'corrected temperature forecast at peak is 31.9C']",LOW,['P90 stays at 87% of assumed capacity']
