,actual,p10,p50,p90,reliability,temp_corr,lag24_imputed,lag48_imputed,prev24_completeness,weather_corr_missing
2025-06-11 23:15:00,8110.706666666666,6329.824333239378,7208.447366811991,8029.9971631353355,LOW,32.205,True,False,0.6145833333333334,False
2025-06-11 23:30:00,8099.343333333333,6327.811384722013,7201.546937921139,8023.411110254676,LOW,32.026666666666664,True,False,0.6041666666666666,False
2025-06-11 23:45:00,8070.17,6315.673074642884,7183.781962669902,8004.4476446873205,LOW,31.848333333333333,True,False,0.59375,False
2025-06-12 00:00:00,8007.013333333333,6501.522947109253,7100.657251628559,7665.163750816177,MEDIUM,31.669999999999998,False,False,0.59375,False
2025-06-12 00:15:00,7960.663333333333,6460.201454485895,7054.982630768519,7615.925725893167,MEDIUM,31.541666666666664,False,False,0.59375,False
2025-06-12 00:30:00,7851.170000000001,6392.702728088706,6982.138024615038,7536.777941680257,MEDIUM,31.41333333333333,False,False,0.59375,False
2025-06-12 00:45:00,7764.686666666667,6324.156967100675,6907.933660763425,7456.166431691603,MEDIUM,31.284999999999997,False,False,0.59375,False
2025-06-12 01:00:00,7682.133333333334,6243.743432193509,6821.24045875386,7361.817020607614,MEDIUM,31.156666666666666,False,False,0.59375,False
2025-06-12 01:15:00,7606.59,6177.482698593502,6751.274570343077,7286.01816914795,MEDIUM,31.045833333333334,False,False,0.59375,False
2025-06-12 01:30:00,7490.77,6105.520896954174,6675.1391366799835,7203.435082924975,MEDIUM,30.935,False,False,0.59375,False
2025-06-12 01:45:00,7418.193333333334,6040.766310627342,6606.091159767576,7128.675297158023,MEDIUM,30.824166666666667,False,False,0.59375,False
2025-06-12 02:00:00,7319.143333333333,5962.313391171158,6522.644412883415,7038.047093026746,MEDIUM,30.713333333333335,False,False,0.59375,False
2025-06-12 02:15:00,7234.596666666667,5897.057565167007,6452.845558896557,6962.476027896111,MEDIUM,30.632500000000004,False,False,0.59375,False
2025-06-12 02:30:00,7165.93,5835.974851378867,6387.005015642696,6891.259713470287,MEDIUM,30.55166666666667,False,False,0.59375,False
2025-06-12 02:45:00,7062.93,5769.167720323821,6314.951779676217,6813.179800661371,MEDIUM,30.470833333333335,False,False,0.59375,False
2025-06-12 03:00:00,6985.406666666667,5692.2308685764565,6232.159668711691,6723.240575178926,MEDIUM,30.39,False,False,0.59375,False
2025-06-12 03:15:00,6915.966666666667,5621.1839562217265,6155.9206169558765,6640.527015464561,MEDIUM,30.359166666666667,False,False,0.59375,False
2025-06-12 03:30:00,6847.013333333333,5567.89208792059,6097.600009544575,6577.532296903097,MEDIUM,30.328333333333337,False,False,0.59375,False
2025-06-12 03:45:00,6763.846666666667,5500.442188479437,6024.410928103547,6498.107826417192,MEDIUM,30.297500000000003,False,False,0.59375,False
2025-06-12 04:00:00,6671.400000000001,5427.551346437484,5945.3163769775765,6412.128220714471,MEDIUM,30.26666666666667,False,False,0.59375,False
2025-06-12 04:15:00,6573.54,5356.915993330739,5869.476238405162,6329.729409274649,MEDIUM,30.134166666666665,False,False,0.59375,False
2025-06-12 04:30:00,6518.46,5299.299155640262,5806.714153866721,6261.691053033827,MEDIUM,30.001666666666665,False,False,0.59375,False
